,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
67,338.9138,24000000.0,C+,3p6.3d8.(3F).4s,b 4F,5/2,3p6.3d8.(3F).4p,y 4F*,3/2,6.0,4.0
68,339.6346,29000000.0,C,3p6.3d8.(3F).4s,b 4F,5/2,3p6.3d8.(3F).4p,y 2G*,7/2,6.0,8.0
69,340.6091,100000000.0,C+,3p6.3d8.(3F).4s,b 4F,9/2,3p6.3d8.(3F).4p,y 4F*,9/2,10.0,10.0
70,341.0152,42000000.0,B,3p6.3d8.(3F).4s,b 4F,7/2,3p6.3d8.(3F).4p,*,7/2,8.0,8.0
71,341.3312,61000000.0,C+,3p6.3d8.(3F).4s,b 4F,7/2,3p6.3d8.(3F).4p,y 2G*,9/2,8.0,10.0
72,341.3608,12000000.0,C+,3p6.3d7.4s2,a 4F,9/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,7/2,10.0,8.0
73,341.5698,8800000.0,C,3p6.3d8.(3F).4s,b 4F,3/2,3p6.3d7.(4F).4s.4p.(3P*),z 2D*,3/2,4.0,4.0
74,341.6499,26000.0,C,3p6.3d7.4s2,a 4F,9/2,3p6.3d7.(4F).4s.4p.(3P*),z 4G*,9/2,10.0,10.0
75,341.8135,32000000.0,C+,3p6.3d8.(3F).4s,b 4F,5/2,3p6.3d8.(3F).4p,*,5/2,6.0,6.0
76,341.8774,390000.0,C,3p6.3d8.(3F).4s,b 4F,9/2,3p6.3d7.(4F).4s.4p.(3P*),z 2G*,7/2,10.0,8.0
77,343.2562,11000000.0,C,3p6.3d7.4s2,a 4F,7/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,5/2,8.0,6.0
78,343.4021,100000000.0,C+,3p6.3d8.(3F).4s,b 4F,3/2,3p6.3d8.(3F).4p,y 4F*,3/2,4.0,4.0
79,344.3907,12000000.0,C,3p6.3d7.4s2,a 4F,5/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,3/2,6.0,4.0
80,344.4629,69000000.0,C+,3p6.3d8.(3F).4s,b 4F,7/2,3p6.3d8.(3F).4p,*,7/2,8.0,8.0
81,345.0156,76000000.0,C+,3p6.3d8.(3F).4s,b 4F,5/2,3p6.3d8.(3F).4p,y 4G*,5/2,6.0,6.0
