,ritz_wl_vac(nm),Aki(s^-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
101,991.428,32467500.0,3d7.(4F<9/2>).4f,2[7/2]*,nan,3d7.(4F<9/2>).5g,2[7/2],nan,16.0,16.0
102,219.0012,84000000.0,3d7.(4P).4p,y 3P*,nan,3d7.(2P).4d,3D,nan,9.0,15.0
103,509.57071,8333333.333333333,3d7.(4F).4d,e 5P,nan,3d7.(4F<5/2>).4f,2[5/2]*,nan,15.0,12.0
104,263.1513726666667,169629629.62962964,3d7.(2G).4p,z 3H*,nan,3d7.(2G).5s,f 3G,nan,33.0,27.0
105,231.104348,136000000.0,3d7.(2G).4p,z 1G*,nan,3d7.(2G).4d,1F,nan,9.0,7.0
106,194.960477,79800000.0,3d8,a 3F,nan,3d7.(4F).4p,z 3D*,nan,21.0,15.0
107,230.23296425,301800000.0,3d7.(4F).4s,a 5F,nan,3d7.(4F).4p,z 5G*,nan,35.0,45.0
108,541.5135600000001,13200000.0,3d7.(4F).4d,e 3G,nan,3d7.(4F<9/2>).4f,2[11/2]*,nan,27.0,24.0
109,774.61974,4783333.333333333,3d7.(4F).5s,e 5F,nan,3d7.(4F).5p,3D*,nan,35.0,12.0
110,988.418,5031250.0,3d7.(4F<9/2>).4f,2[9/2]*,nan,3d7.(4F<9/2>).5g,2[7/2],nan,20.0,16.0
111,227.519572,340000000.0,3d7.(4F).4p,z 3F*,nan,3d7.(4F).4d,f 3F,nan,21.0,21.0
112,513.75328,15166666.666666666,3d7.(4F).4d,e 3G,nan,3d7.(4F<3/2>).4f,2[5/2]*,nan,27.0,12.0
113,2187.434,312857.14285714284,3d7.(4F).4d,e 5P,nan,3d7.(4F).5p,5D*,nan,15.0,21.0
114,837.09933,13171428.57142857,3d7.(4F).5p,3F*,nan,3d7.(4F).6s,3F,nan,21.0,21.0
115,221.502585,290000000.0,3d7.(2H).4p,z 1I*,nan,3d7.(2H).4d,1I,nan,13.0,13.0
116,992.7387,225500.0,3d7.(4F<5/2>).4f,2[11/2]*,nan,3d7.(4F<5/2>).5g,2[9/2],nan,24.0,20.0
117,997.0976499999999,12925000.0,3d7.(4F<9/2>).4f,2[3/2]*,nan,3d7.(4F<9/2>).5g,2[5/2],nan,8.0,12.0
118,504.30100666666664,61781250.0,3d7.(4F).4d,f 5F,nan,3d7.(4F<9/2>).4f,2[7/2]*,nan,35.0,16.0
119,223.080533,489971428.5714286,3d7.(4F).4p,z 5F*,nan,3d7.(4F).4d,f 5F,nan,35.0,35.0
120,538.58542,3850000.0,3d7.(4F).4d,e 3H,nan,3d7.(4F<7/2>).4f,2[9/2]*,nan,33.0,20.0
121,248.865695,63333333.333333336,3d7.(2H).4p,y 1H*,nan,3d7.(2H).4d,3H,nan,11.0,33.0
122,498.166475,31062500.0,3d7.(4F).4d,f 5F,nan,3d7.(4F<7/2>).4f,2[7/2]*,nan,35.0,16.0
