,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Reference,nQua
234,3s2.3p4.(3P<2>).6f,2[4]*,7/2,8.0,26.09211674,2.5e-07,,L15349,6
235,3s2.3p4.(3P<2>).6f,2[3]*,5/2,6.0,26.0942982,5e-07,,L15349,6
236,3s2.3p4.(3P<2>).6f,2[3]*,7/2,8.0,26.095924,5e-07,,L15349,6
237,3s2.3p4.(3P<2>).6f,2[2]*,3/2,4.0,26.1002893,2.5e-06,,L15349,6
238,3s2.3p4.(3P<2>).6f,2[2]*,5/2,6.0,26.1020361,1.7e-06,,L15349,6
239,3s2.3p4.(3P<2>).6f,2[5]*,11/2,12.0,26.102613,1.7e-05,,L15349,6
240,3s2.3p4.(3P<2>).6f,2[5]*,9/2,10.0,26.1030057,9e-07,,L15349,6
241,3s2.3p4.(3P<2>).6f,2[1]*,3/2,4.0,26.109201,4e-06,,L15349,6
242,3s2.3p4.(3P<2>).6g,2[5],11/2,12.0,26.11201792,1.6e-07,,L15349,6
243,3s2.3p4.(3P<2>).6g,2[5],9/2,10.0,26.11203395,1.7e-07,,L15349,6
244,3s2.3p4.(3P<2>).6g,2[4],9/2,10.0,26.1122349,4e-07,,L15349,6
245,3s2.3p4.(3P<2>).6g,2[4],7/2,8.0,26.11224084,9e-08,,L15349,6
246,3s2.3p4.(3P<2>).6g,2[3],5/2,6.0,26.11480622,2.5e-07,,L15349,6
247,3s2.3p4.(3P<2>).6g,2[3],7/2,8.0,26.1148142,5e-07,,L15349,6
248,3s2.3p4.(3P<2>).6h,2[5]*,9/2,10.0,26.11562721,1.2e-07,,L15349,6
249,3s2.3p4.(3P<2>).6h,2[5]*,11/2,12.0,26.11562754,9e-08,,L15349,6
250,3s2.3p4.(3P<2>).6h,2[6]*,11/2,12.0,26.1156858,1.1e-06,,L15349,6
251,3s2.3p4.(3P<2>).6h,2[6]*,13/2,14.0,26.11568686,1.2e-07,,L15349,6
252,3s2.3p4.(3P<2>).6g,2[6],13/2,14.0,26.11633493,5e-08,,L15349,6
253,3s2.3p4.(3P<2>).6g,2[6],11/2,12.0,26.1163697,1e-07,,L15349,6
254,3s2.3p4.(3P<2>).6h,2[4]*,7/2,8.0,26.11689532,1.4e-07,,L15349,6
255,3s2.3p4.(3P<2>).6h,2[4]*,9/2,10.0,26.11689637,1.9e-07,,L15349,6
256,3s2.3p4.(3P<2>).6h,2[7]*,13/2,14.0,26.11799316,5e-08,,L15349,6
257,3s2.3p4.(3P<2>).6h,2[7]*,15/2,16.0,26.11799488,5e-08,,L15349,6
258,3s2.3p4.(3P<2>).6g,2[2],3/2,4.0,26.1183379,5e-07,,L15349,6
259,3s2.3p4.(3P<2>).6g,2[2],5/2,6.0,26.11835425,2e-07,,L15349,6
260,3s2.3p4.(3P<2>).6h,2[3]*,5/2,6.0,26.11883422,2.5e-07,,L15349,6
261,3s2.3p4.(3P<2>).6h,2[3]*,7/2,8.0,26.1188358,1.9e-07,,L15349,6
262,3s2.3p4.(3P<1>).6f,2[2]*,3/2,4.0,26.231621,1.5e-07,,L15349,6
263,3s2.3p4.(3P<1>).6f,2[2]*,5/2,6.0,26.23333896,2.4e-07,,L15349,6
264,3s2.3p4.(3P<1>).6f,2[4]*,9/2,10.0,26.23425812,5e-08,,L15349,6
265,3s2.3p4.(3P<1>).6f,2[4]*,7/2,8.0,26.23586749,2.1e-07,,L15349,6
266,3s2.3p4.(3P<1>).6f,2[3]*,7/2,8.0,26.242751,6e-06,,L15349,6
267,3s2.3p4.(3P<1>).6f,2[3]*,5/2,6.0,26.2436324,2.5e-06,,L15349,6
268,3s2.3p4.(3P<1>).6g,2[3],5/2,6.0,26.25063624,2.5e-07,,L15349,6
269,3s2.3p4.(3P<1>).6g,2[3],7/2,8.0,26.2506494,1.6e-07,,L15349,6
270,3s2.3p4.(3P<1>).6g,2[5],11/2,12.0,26.251467,1.4e-07,,L15349,6
271,3s2.3p4.(3P<1>).6g,2[5],9/2,10.0,26.25147586,1.2e-07,,L15349,6
272,3s2.3p4.(3P<1>).6h,2[4]*,7/2,8.0,26.25389755,1.5e-07,,L15349,6
273,3s2.3p4.(3P<1>).6h,2[4]*,9/2,10.0,26.25389891,1e-07,,L15349,6
274,3s2.3p4.(3P<1>).6h,2[6]*,11/2,12.0,26.25427186,9e-08,,L15349,6
275,3s2.3p4.(3P<1>).6h,2[6]*,13/2,14.0,26.25427383,6e-08,,L15349,6
276,3s2.3p4.(3P<1>).6g,2[4],9/2,10.0,26.25507599,2.5e-07,,L15349,6
277,3s2.3p4.(3P<1>).6g,2[4],7/2,8.0,26.25507612,2.5e-07,,L15349,6
278,3s2.3p4.(3P<1>).6h,2[5]*,11/2,12.0,26.25625228,9e-08,,L15349,6
279,3s2.3p4.(3P<1>).6h,2[5]*,9/2,10.0,26.25625371,9e-08,,L15349,6
280,3s2.3p4.(3P<0>).6f,2[3]*,7/2,8.0,26.29349829,1.4e-07,,L15349,6
281,3s2.3p4.(3P<0>).6f,2[3]*,5/2,6.0,26.2942071,2.5e-07,,L15349,6
282,3s2.3p4.(3P).7d,4D,7/2,8.0,26.29574504,2.5e-07,,L15349,7
283,3s2.3p4.(3P<0>).6g,2[4],9/2,10.0,26.30919076,1.9e-07,,L15349,6
284,3s2.3p4.(3P<0>).6g,2[4],7/2,8.0,26.30921053,2.5e-07,,L15349,6
285,3s2.3p4.(3P<0>).6h,2[5]*,11/2,12.0,26.31161594,9e-08,,L15349,6
286,3s2.3p4.(3P<0>).6h,2[5]*,9/2,10.0,26.31161729,6e-08,,L15349,6
287,3s2.3p4.(3P).7d,4F,9/2,10.0,26.3124708,1.2e-06,,L15349,7
288,3s2.3p4.(3P).7d,4F,7/2,8.0,26.3270998,4e-07,,L15349,7
289,3s2.3p4.(1D).6s,2D,3/2,4.0,26.400248,6e-08,,L15349,6
290,3s2.3p4.(1D).6s,2D,5/2,6.0,26.40040716,5e-08,,L15349,6
291,3s2.3p4.(3P).7d,2F,7/2,8.0,26.44578799,2.5e-07,,L15349,7
292,3s2.3p4.(3P<2>).7f,2[4]*,9/2,10.0,26.501521,6e-06,,L15349,7
293,3s2.3p4.(3P<2>).7f,2[4]*,7/2,8.0,26.502211,1.2e-05,,L15349,7
294,3s2.3p4.(3P<2>).7f,2[5]*,11/2,12.0,26.508766,6e-06,,L15349,7
295,3s2.3p4.(3P<2>).7f,2[5]*,9/2,10.0,26.508998,5e-06,,L15349,7
296,3s2.3p4.(3P<2>).7g,2[5],11/2,12.0,26.5151818,7e-07,,L15349,7
297,3s2.3p4.(3P<2>).7g,2[5],9/2,10.0,26.5151883,5e-07,,L15349,7
298,3s2.3p4.(3P<2>).7g,2[4],9/2,10.0,26.5153217,4e-07,,L15349,7
299,3s2.3p4.(3P<2>).7g,2[4],7/2,8.0,26.5153368,4e-07,,L15349,7
300,3s2.3p4.(3P<2>).7g,2[3],7/2,8.0,26.5169564,1.5e-06,,L15349,7
301,3s2.3p4.(3P<2>).7g,2[3],5/2,6.0,26.5169717,2.5e-06,,L15349,7
302,3s2.3p4.(3P<2>).7h,2[5]*,11/2,12.0,26.5175109,5e-07,,L15349,7
303,3s2.3p4.(3P<2>).7h,2[5]*,9/2,10.0,26.51751682,2.5e-07,,L15349,7
304,3s2.3p4.(3P<2>).7h,2[6]*,11/2,12.0,26.5175467,7e-07,,L15349,7
305,3s2.3p4.(3P<2>).7h,2[6]*,13/2,14.0,26.5175481,5e-07,,L15349,7
306,3s2.3p4.(3P<2>).7g,2[6],13/2,14.0,26.5178909,5e-07,,L15349,7
307,3s2.3p4.(3P<2>).7g,2[6],11/2,12.0,26.5178912,7e-07,,L15349,7
308,3s2.3p4.(3P<2>).7i,2[6],11/2,12.0,26.5182801,9e-07,,L15349,7
309,3s2.3p4.(3P<2>).7i,2[6],13/2,14.0,26.5182804,7e-07,,L15349,7
310,3s2.3p4.(3P<2>).7h,2[4]*,7/2,8.0,26.5183117,1.1e-06,,L15349,7
311,3s2.3p4.(3P<2>).7h,2[4]*,9/2,10.0,26.5183133,1.1e-06,,L15349,7
312,3s2.3p4.(3P<2>).7i,2[7],13/2,14.0,26.5183401,1e-06,,L15349,7
313,3s2.3p4.(3P<2>).7i,2[7],15/2,16.0,26.51834082,1.2e-07,,L15349,7
314,3s2.3p4.(3P<2>).7i,2[5],9/2,10.0,26.51872797,1.7e-07,,L15349,7
315,3s2.3p4.(3P<2>).7i,2[5],11/2,12.0,26.51872896,1.9e-07,,L15349,7
316,3s2.3p4.(3P<2>).7h,2[7]*,15/2,16.0,26.5189885,1.2e-06,,L15349,7
317,3s2.3p4.(3P<2>).7h,2[7]*,13/2,14.0,26.5189885,4e-07,,L15349,7
318,3s2.3p4.(3P<2>).7g,2[2],3/2,4.0,26.519141,4e-06,,L15349,7
319,3s2.3p4.(3P<2>).7g,2[2],5/2,6.0,26.5191667,4e-07,,L15349,7
320,3s2.3p4.(3P<2>).7i,2[8],15/2,16.0,26.51920453,1e-07,,L15349,7
321,3s2.3p4.(3P<2>).7i,2[8],17/2,18.0,26.51920626,9e-08,,L15349,7
322,3s2.3p4.(3P<2>).7i,2[4],7/2,8.0,26.5194637,5e-07,,L15349,7
323,3s2.3p4.(3P<2>).7i,2[4],9/2,10.0,26.5194655,5e-07,,L15349,7
324,3s2.3p4.(3P<2>).7h,2[3]*,7/2,8.0,26.5195298,1.5e-06,,L15349,7
325,3s2.3p4.(3P<2>).7h,2[3]*,5/2,6.0,26.5195298,1.9e-06,,L15349,7
326,3s2.3p4.(1D).5d,2G,7/2,8.0,26.55553718,7e-08,,L15349,5
327,3s2.3p4.(1D).5d,2G,9/2,10.0,26.55611128,4e-08,,L15349,5
328,3s2.3p4.(1D).5d,2D,5/2,6.0,26.6153804,2.5e-06,,L15349,5
329,3s2.3p4.(3P).8d,4D,7/2,8.0,26.633348,4e-06,,L15349,8
330,3s2.3p4.(1D).5d,2F,7/2,8.0,26.63580586,1.9e-07,,L15349,5
331,3s2.3p4.(1D).5d,2F,5/2,6.0,26.6456134,1.4e-07,,L15349,5
332,3s2.3p4.(3P<1>).7f,2[4]*,9/2,10.0,26.642424,6e-06,,L15349,7
333,3s2.3p4.(3P<1>).7f,2[4]*,7/2,8.0,26.643649,1.1e-05,,L15349,7
334,3s2.3p4.(3P).8d,4F,9/2,10.0,26.643572,5e-06,,L15349,8
335,3s2.3p4.(3P<1>).7g,2[3],5/2,6.0,26.6534543,6e-07,,L15349,7
336,3s2.3p4.(3P<1>).7g,2[3],7/2,8.0,26.6534598,7e-07,,L15349,7
